Anomaly - Source: 82.110.69.184, Destination: 190.185.66.209, Protocol: 255
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 3.33.252.61, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 3.33.252.61, Protocol: 6
Signature - Source: 20.127.250.238, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 20.127.250.238, Protocol: 6
Signature - Source: 20.127.250.238, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Signature - Source: 134.88.132.226, Destination: 206.247.9.110, Protocol: 6
Signature - Source: 206.247.9.110, Destination: 134.88.132.226, Protocol: 6
Anomaly - Source: 67.12.93.31, Destination: 238.244.52.12, Protocol: 255
Anomaly - Source: 93.60.157.78, Destination: 24.106.43.176, Protocol: 255
